lead_time_id,item_no,pr_date,po_date,rcpt_date,pr_to_rcpt_lead_time_days,po_to_rcpt_lead_time_days
5455,ENG0029,2020-01-16,2020-02-03,2020-09-16,244,226
7191,ENG0042,2020-05-30,2020-06-17,2020-08-15,77,59
7192,ENG0042,2023-03-08,2023-05-03,2023-05-24,77,21
7193,ENG0042,2024-04-23,2024-08-21,2025-03-19,330,210
7556,ENG0019,2020-01-21,2020-01-29,2020-02-17,27,19
7557,ENG0019,2020-06-23,2020-07-30,2020-09-22,91,54
7558,ENG0019,2020-10-29,2020-12-02,2021-02-18,112,78
7559,ENG0019,2021-04-06,2021-04-22,2021-05-11,35,19
7560,ENG0019,2021-07-05,2021-08-10,2021-09-20,77,41
7561,ENG0019,2021-07-16,2021-09-02,2022-05-11,299,251
7562,ENG0019,2021-11-13,2022-01-25,2022-05-28,196,123
7563,ENG0019,2022-02-21,2022-02-24,2022-03-02,9,6
7564,ENG0019,2022-04-01,2022-04-21,2022-05-26,55,35
7565,ENG0019,2022-04-11,2022-04-26,2022-11-28,231,216
7566,ENG0019,2022-12-09,2023-01-11,2023-08-09,243,210
7567,ENG0019,2023-05-29,2023-11-10,2023-12-04,189,24
7568,ENG0019,2023-10-18,2023-10-25,2024-05-08,203,196
7569,ENG0019,2024-09-11,2024-09-19,2025-01-02,113,105
7570,ENG0019,2025-01-27,2025-02-26,2025-09-25,241,211
7571,ENG0019,2025-07-24,2025-08-08,2025-12-24,153,138
7572,ENG0019,2026-03-10,2026-03-31,2026-06-17,99,78
9113,ENG0021,2020-02-13,2020-03-07,2021-10-02,597,574
9114,ENG0021,2020-10-08,2020-10-21,2022-04-20,559,546
9115,ENG0021,2021-02-10,2021-03-13,2022-11-03,631,600
9116,ENG0021,2022-03-21,2022-04-04,2023-05-27,432,418
9117,ENG0021,2022-10-24,2022-11-16,2023-06-13,232,209
9118,ENG0021,2022-11-21,2022-12-14,2024-06-17,574,551
9119,ENG0021,2023-01-17,2023-02-23,2024-07-23,553,516
9120,ENG0021,2023-02-13,2023-04-17,2023-12-18,308,245
9121,ENG0021,2023-12-09,2024-02-06,2024-06-12,186,127
9122,ENG0021,2024-05-06,2024-05-18,2024-10-18,165,153
9123,ENG0021,2024-08-29,2024-09-19,2025-07-08,313,292
9124,ENG0021,2025-01-30,2025-02-08,2025-10-18,261,252
9125,ENG0021,2025-04-08,2025-05-03,2025-10-31,206,181
9126,ENG0021,2025-11-12,2025-12-14,2026-05-05,174,142
10088,ENG0020,2019-12-17,2020-01-21,2020-09-15,273,238
10089,ENG0020,2020-02-13,2020-03-07,2021-10-02,597,574
10090,ENG0020,2020-06-14,2020-06-24,2021-08-18,430,420
10091,ENG0020,2021-02-10,2021-03-13,2022-11-03,631,600
10092,ENG0020,2021-10-08,2022-01-13,2023-03-04,512,415
10093,ENG0020,2022-01-13,2022-01-29,2022-12-29,350,334
