item_no,po_no,order_date,qty_ordered,qty_received,has_rcpt,open_qty,days_since_order,is_stale
ENG0029,SMPO-072816,2016-12-21,42.0,42,True,0.0,3471,False
ENG0029,SMPO-084187,2018-09-19,60.0,60,True,0.0,2834,False
ENG0029,SMPO-087003,2019-04-08,270.0,270,True,0.0,2633,False
ENG0029,SMPO-090112,2020-02-03,180.0,180,True,0.0,2332,False
ENG0029,SMPO-073822,2017-03-08,120.0,120,True,0.0,3394,False
ENG0029,SMPO-078853,2017-12-07,126.0,126,True,0.0,3120,False
ENG0042,SMFPO-005849,2010-01-22,4.0,4,True,0.0,5996,False
ENG0042,SMPO-025504,2009-11-20,6.0,6,True,0.0,6059,False
ENG0042,SMPO-044846,2012-04-03,10.0,10,True,0.0,5194,False
ENG0042,SMPO-049593,2012-10-10,10.0,10,True,0.0,5004,False
ENG0042,SMPO-053077,2013-02-27,10.0,10,True,0.0,4864,False
ENG0042,SMPO-068703,2016-04-15,30.0,30,True,0.0,3721,False
ENG0042,SMPO-091117,2020-06-17,30.0,30,True,0.0,2197,False
ENG0042,SMPO-099817,2023-05-03,20.0,20,True,0.0,1147,False
ENG0042,SMPO-103600,2024-08-21,30.0,30,True,0.0,671,False
ENG0019,SMPO-022955,2009-05-16,85.0,85,True,0.0,6247,False
ENG0019,SMPO-023405,2009-06-10,100.0,100,True,0.0,6222,False
ENG0019,SMPO-023555,2009-06-24,100.0,100,True,0.0,6208,False
ENG0019,SMPO-023609,2009-06-30,100.0,100,True,0.0,6202,False
ENG0019,SMPO-023666,2009-07-03,65.0,65,True,0.0,6199,False
ENG0019,SMPO-027362,2010-03-15,36.0,36,True,0.0,5944,False
ENG0019,SMPO-027712,2010-03-30,36.0,36,True,0.0,5929,False
ENG0019,SMPO-032446,2010-12-03,30.0,30,True,0.0,5681,False
ENG0019,SMPO-033608,2011-02-04,20.0,0,True,20.0,5618,True
ENG0019,SMPO-035188,2011-04-14,20.0,20,True,0.0,5549,False
ENG0019,SMPO-036052,2011-05-25,50.0,50,True,0.0,5508,False
ENG0019,SMPO-049245,2012-09-27,50.0,50,True,0.0,5017,False
ENG0019,SMPO-052054,2013-01-25,40.0,40,True,0.0,4897,False
ENG0019,SMPO-053670,2013-03-23,50.0,50,True,0.0,4840,False
ENG0019,SMPO-054915,2013-05-30,50.0,50,True,0.0,4772,False
ENG0019,SMPO-055056,2013-06-07,50.0,50,True,0.0,4764,False
ENG0019,SMPO-055530,2013-07-17,50.0,50,True,0.0,4724,False
ENG0019,SMPO-055996,2013-08-16,45.0,45,True,0.0,4694,False
ENG0019,SMPO-057799,2014-01-21,50.0,50,True,0.0,4536,False
ENG0019,SMPO-059587,2014-06-16,200.0,200,True,0.0,4390,False
ENG0019,SMPO-064634,2015-07-15,45.0,45,True,0.0,3996,False
ENG0019,SMPO-065181,2015-08-22,45.0,45,True,0.0,3958,False
ENG0019,SMPO-066253,2015-10-28,90.0,90,True,0.0,3891,False
ENG0019,SMPO-067087,2016-01-12,45.0,45,True,0.0,3815,False
ENG0019,SMPO-067469,2016-02-03,90.0,90,True,0.0,3793,False
ENG0019,SMPO-069823,2016-07-01,90.0,90,True,0.0,3644,False
ENG0019,SMPO-070752,2016-08-25,200.0,200,True,0.0,3589,False
ENG0019,SMPO-074143,2017-03-18,100.0,100,True,0.0,3384,False
ENG0019,SMPO-074779,2017-05-05,200.0,200,True,0.0,3336,False
ENG0019,SMPO-075945,2017-07-08,500.0,500,True,0.0,3272,False
ENG0019,SMPO-078978,2017-12-14,36.0,36,True,0.0,3113,False
ENG0019,SMPO-080179,2018-03-08,300.0,300,True,0.0,3029,False
ENG0019,SMPO-082681,2018-07-09,500.0,500,True,0.0,2906,False
ENG0019,SMPO-084135,2018-09-17,500.0,500,True,0.0,2836,False
ENG0019,SMPO-086939,2019-04-01,24.0,24,True,0.0,2640,False
ENG0019,SMPO-087981,2019-07-02,350.0,350,True,0.0,2548,False
ENG0019,SMPO-089212,2019-10-22,200.0,200,True,0.0,2436,False
ENG0019,SMPO-089735,2019-12-11,300.0,300,True,0.0,2386,False
ENG0019,SMPO-090068,2020-01-29,300.0,300,True,0.0,2337,False
ENG0019,SMPO-091552,2020-07-30,500.0,500,True,0.0,2154,False
ENG0019,SMPO-092614,2020-12-02,500.0,500,True,0.0,2029,False
ENG0019,SMPO-093799,2021-04-22,500.0,500,True,0.0,1888,False
ENG0019,SMPO-094750,2021-08-10,500.0,500,True,0.0,1778,False
ENG0019,SMPO-094979,2021-09-02,500.0,500,True,0.0,1755,False
ENG0019,SMPO-096206,2022-01-25,500.0,500,True,0.0,1610,False
ENG0019,SMPO-096477,2022-02-24,248.0,248,True,0.0,1580,False
ENG0019,SMPO-096804,2022-04-21,59.0,59,True,0.0,1524,False
ENG0019,SMPO-096825,2022-04-26,2500.0,2500,True,0.0,1519,False
ENG0019,SMPO-098857,2023-01-11,63.0,63,True,0.0,1259,False
ENG0019,SMPO-101108,2023-10-25,2000.0,2000,True,0.0,972,False
ENG0019,SMPO-101201,2023-11-10,56.0,56,True,0.0,956,False
ENG0019,SMPO-103752,2024-09-19,500.0,500,True,0.0,642,False
ENG0019,SMPO-105144,2025-02-26,2500.0,2500,True,0.0,482,False
ENG0019,SMPO-106551,2025-08-08,1500.0,1500,True,0.0,319,False
ENG0019,SMPO-107831,2026-03-31,1000.0,1000,True,0.0,84,False
ENG0021,KPO-000134,2017-11-09,6.0,6,True,0.0,3148,False
ENG0021,KPO-000282,2018-02-07,122.0,122,True,0.0,3058,False
ENG0021,KPO-000384,2018-03-26,148.0,148,True,0.0,3011,False
ENG0021,KPO-000768,2018-10-13,198.0,198,True,0.0,2810,False
ENG0021,KPO-000769,2018-10-13,80.0,80,True,0.0,2810,False
ENG0021,KPO-001125,2019-04-13,54.0,54,True,0.0,2628,False
ENG0021,KPO-001210,2019-05-11,36.0,36,True,0.0,2600,False
ENG0021,KPO-001295,2019-06-22,34.0,34,True,0.0,2558,False
ENG0021,KPO-001573,2020-10-21,119.0,119,True,0.0,2071,False
ENG0021,KPO-001713,2022-04-04,14.0,14,True,0.0,1541,False
ENG0021,KPO-001965,2022-11-16,298.0,298,True,0.0,1315,False
ENG0021,KPO-001998,2022-12-14,26.0,26,True,0.0,1287,False
ENG0021,KPO-002104,2023-02-23,56.0,56,True,0.0,1216,False
ENG0021,KPO-002151,2023-04-17,76.0,76,True,0.0,1163,False
ENG0021,KPO-002376,2024-02-06,10.0,10,True,0.0,868,False
ENG0021,KPO-002451,2024-05-18,168.0,168,True,0.0,766,False
ENG0021,KPO-001527,2020-03-07,398.0,398,True,0.0,2299,False
ENG0021,KPO-001595,2021-03-13,485.0,485,True,0.0,1928,False
ENG0021,KPO-002555,2024-09-19,58.0,58,True,0.0,642,False
ENG0021,KPO-002684,2025-02-08,80.0,80,True,0.0,500,False
ENG0021,KPO-002737,2025-05-03,118.0,118,True,0.0,416,False
ENG0021,KPO-002984,2025-12-14,100.0,100,True,0.0,191,False
ENG0020,KPO-000091,2017-09-01,7.0,7,True,0.0,3217,False
ENG0020,KPO-000290,2018-02-13,6.0,6,True,0.0,3052,False
ENG0020,KPO-000444,2018-04-30,7.0,7,True,0.0,2976,False
ENG0020,KPO-000779,2018-10-21,8.0,8,True,0.0,2802,False
ENG0020,KPO-000999,2019-01-31,8.0,8,True,0.0,2700,False
ENG0020,KPO-001044,2019-02-22,8.0,8,True,0.0,2678,False
ENG0020,KPO-001130,2019-04-13,8.0,8,True,0.0,2628,False
ENG0020,KPO-001211,2019-05-11,10.0,10,True,0.0,2600,False
ENG0020,KPO-001298,2019-06-22,5.0,5,True,0.0,2558,False
ENG0020,KPO-001502,2020-01-21,15.0,15,True,0.0,2345,False
ENG0020,KPO-001663,2022-01-13,32.0,32,True,0.0,1622,False
ENG0020,KPO-001689,2022-01-29,6.0,6,True,0.0,1606,False
ENG0020,KPO-001696,2022-03-03,8.0,8,True,0.0,1573,False
ENG0020,KPO-001713,2022-04-04,4.0,4,True,0.0,1541,False
ENG0020,KPO-001733,2022-05-17,8.0,8,True,0.0,1498,False
ENG0020,KPO-001858,2022-07-25,9.0,9,True,0.0,1429,False
ENG0020,KPO-001913,2022-09-26,6.0,6,True,0.0,1366,False
ENG0020,KPO-001921,2022-10-11,10.0,10,True,0.0,1351,False
ENG0020,KPO-001936,2022-10-17,10.0,10,True,0.0,1345,False
ENG0020,KPO-002142,2023-03-17,200.0,200,True,0.0,1194,False
ENG0020,KPO-001527,2020-03-07,46.0,46,True,0.0,2299,False
ENG0020,KPO-001548,2020-06-24,54.0,2,True,52.0,2190,True
ENG0020,KPO-001595,2021-03-13,8.0,8,True,0.0,1928,False
ENG0020,KPO-002097,2023-02-23,22.0,22,True,0.0,1216,False
ENG0014,SMPO-039502,2011-09-12,50.0,50,True,0.0,5398,False
ENG0014,SMPO-046952,2012-06-25,100.0,100,True,0.0,5111,False
ENG0014,SMPO-048222,2012-08-15,150.0,150,True,0.0,5060,False
ENG0014,SMPO-052243,2013-01-31,200.0,200,True,0.0,4891,False
ENG0014,SMPO-055150,2013-06-18,100.0,100,True,0.0,4753,False
ENG0014,SMPO-069559,2016-06-14,300.0,300,True,0.0,3661,False
ENG0014,SMPO-070437,2016-08-03,100.0,100,True,0.0,3611,False
ENG0014,SMPO-074132,2017-03-17,100.0,100,True,0.0,3385,False
ENG0014,SMPO-077246,2017-09-14,100.0,100,True,0.0,3204,False
ENG0014,SMPO-077904,2017-10-16,200.0,200,True,0.0,3172,False
ENG0014,SMPO-080750,2018-03-26,100.0,100,True,0.0,3011,False
ENG0014,SMPO-085205,2018-11-17,100.0,100,True,0.0,2775,False
ENG0014,SMPO-085965,2019-01-16,100.0,100,True,0.0,2715,False
ENG0014,SMPO-091394,2020-07-16,115.0,115,True,0.0,2168,False
ENG0014,SMPO-097524,2022-07-12,250.0,250,True,0.0,1442,False
ENG0014,SMPO-101845,2024-02-08,250.0,250,True,0.0,866,False
ENG0014,SMPO-102253,2024-04-12,200.0,200,True,0.0,802,False
ENG0014,SMPO-106614,2025-08-14,300.0,300,True,0.0,313,False
ENG0014,SMPO-001855,2005-10-10,50.0,50,True,0.0,7561,False
ENG0014,SMPO-107719,2026-03-12,500.0,464,True,36.0,103,False
ENG0023,SMFPO-009816,2012-01-27,1200.0,1200,True,0.0,5261,False
ENG0023,SMFPO-017575,2017-02-15,2800.0,2800,True,0.0,3415,False
ENG0023,SMFPO-019096,2017-12-05,185.0,185,True,0.0,3122,False
