item_no,consumption_date,consumption_qty
LAB0001,2005-06-03,0.0
LAB0001,2005-06-04,0.0
LAB0001,2005-06-05,0.0
LAB0001,2005-06-06,10939.0
LAB0001,2005-06-07,67386.0
LAB0001,2005-06-08,14132.0
LAB0001,2005-06-09,0.0
LAB0001,2005-06-10,31296.0
LAB0001,2005-06-11,23105.0
LAB0001,2005-06-12,15025.0
LAB0001,2005-06-13,7288.0
LAB0001,2005-06-14,11653.0
LAB0001,2005-06-15,0.0
LAB0001,2005-06-16,0.0
LAB0001,2005-06-17,23362.0
LAB0001,2005-06-18,82.0
LAB0001,2005-06-19,3000.0
LAB0001,2005-06-20,0.0
LAB0001,2005-06-21,0.0
LAB0001,2005-06-22,0.0
LAB0001,2005-06-23,0.0
LAB0001,2005-06-24,6638.0
LAB0001,2005-06-25,0.0
LAB0001,2005-06-26,0.0
LAB0001,2005-06-27,0.0
LAB0001,2005-06-28,0.0
LAB0001,2005-06-29,0.0
LAB0001,2005-06-30,606.0
LAB0001,2005-07-01,1683.0
LAB0001,2005-07-02,0.0
LAB0001,2005-07-03,2760.0
LAB0001,2005-07-04,5010.0
LAB0001,2005-07-05,0.0
LAB0001,2005-07-06,0.0
LAB0001,2005-07-07,0.0
LAB0001,2005-07-08,0.0
LAB0001,2005-07-09,27433.0
LAB0001,2005-07-10,223899.0
LAB0001,2005-07-11,22875.0
LAB0001,2005-07-12,198898.0
LAB0001,2005-07-13,351333.0
LAB0001,2005-07-15,195892.0
LAB0001,2005-07-22,87003.0
LAB0001,2005-07-26,40454.0
LAB0001,2005-07-27,6710.0
LAB0001,2005-07-28,70996.0
LAB0001,2005-07-30,67160.0
LAB0001,2005-07-31,127744.0
LAB0001,2005-08-01,99654.0
LAB0001,2005-08-02,120262.0
LAB0001,2005-08-04,66157.0
LAB0001,2005-08-05,51950.0
LAB0001,2005-08-06,41836.0
LAB0001,2005-08-07,14936.0
LAB0001,2005-08-08,77669.0
LAB0001,2005-08-09,94297.0
LAB0001,2005-08-10,15510.0
LAB0001,2005-08-12,42937.0
LAB0001,2005-08-13,149653.0
LAB0001,2005-08-14,70529.0
LAB0001,2005-08-16,105114.0
LAB0001,2005-08-17,57005.0
LAB0001,2005-08-18,116687.0
LAB0001,2005-08-19,148040.0
LAB0001,2005-08-21,128946.0
LAB0001,2005-08-22,168768.0
LAB0001,2005-08-23,35456.0
LAB0001,2005-08-24,116879.0
LAB0001,2005-08-25,123635.0
LAB0001,2005-08-26,55211.0
LAB0001,2005-08-27,97582.0
LAB0001,2005-08-28,104065.0
LAB0001,2005-08-29,94111.0
LAB0001,2005-08-31,13439.0
LAB0001,2005-09-01,68348.0
LAB0001,2005-09-02,200.0
LAB0001,2005-09-03,56539.0
LAB0001,2005-09-04,67854.0
LAB0001,2005-09-05,142201.0
LAB0001,2005-09-06,83380.0
LAB0001,2005-09-07,85744.0
LAB0001,2005-09-08,95628.0
LAB0001,2005-09-09,84872.0
LAB0001,2005-09-10,21896.0
LAB0001,2005-09-11,109876.0
LAB0001,2005-09-12,84796.0
LAB0001,2005-09-13,91267.0
LAB0001,2005-09-14,68310.0
LAB0001,2005-09-16,24754.0
LAB0001,2005-09-17,93357.0
LAB0001,2005-09-18,134880.0
LAB0001,2005-09-19,119693.0
LAB0001,2005-09-20,59430.0
LAB0001,2005-09-21,148645.0
LAB0001,2005-09-23,74361.0
LAB0001,2005-09-24,112466.0
LAB0001,2005-09-25,110922.0
LAB0001,2005-09-26,113804.0
LAB0001,2005-09-27,120680.0
LAB0001,2005-09-28,77111.0
LAB0001,2005-09-29,134909.0
LAB0001,2005-09-30,117835.0
LAB0001,2005-10-01,139902.0
LAB0001,2005-10-02,120261.0
LAB0001,2005-10-03,92832.0
LAB0001,2005-10-05,106094.0
LAB0001,2005-10-06,145489.0
LAB0001,2005-10-07,108799.0
LAB0001,2005-10-08,86305.0
LAB0001,2005-10-09,133830.0
LAB0001,2005-10-10,97511.0
LAB0001,2005-10-11,102714.0
LAB0001,2005-10-12,111335.0
LAB0001,2005-10-13,111932.0
LAB0001,2005-10-14,119194.0
LAB0001,2005-10-15,98319.0
LAB0001,2005-10-16,123629.0
LAB0001,2005-10-18,112053.0
LAB0001,2005-10-19,111380.0
LAB0001,2005-10-20,116255.0
LAB0001,2005-10-21,110372.0
LAB0001,2005-10-22,116375.0
LAB0001,2005-10-23,136273.0
LAB0001,2005-10-24,107200.0
LAB0001,2005-10-25,98137.0
LAB0001,2005-10-26,87068.0
LAB0001,2005-10-28,175373.0
LAB0001,2005-10-29,106582.0
LAB0001,2005-10-30,124933.0
LAB0001,2005-10-31,6228.0
LAB0001,2005-11-01,103789.0
LAB0001,2005-11-02,184446.0
LAB0001,2005-11-03,55397.0
LAB0001,2005-11-04,116438.0
LAB0001,2005-11-06,150036.0
LAB0001,2005-11-07,113335.0
LAB0001,2005-11-08,61646.0
LAB0001,2005-11-09,103257.0
LAB0001,2005-11-10,100538.0
LAB0001,2005-11-11,42142.0
LAB0001,2005-11-12,131409.0
LAB0001,2005-11-13,109632.0
LAB0001,2005-11-14,138280.0
LAB0001,2005-11-15,117589.0
LAB0001,2005-11-16,136754.0
LAB0001,2005-11-17,213512.0
LAB0001,2005-11-18,131992.0
LAB0001,2005-11-19,83731.0
LAB0001,2005-11-20,2507.0
LAB0001,2005-11-24,115038.0
LAB0001,2005-11-25,132631.0
LAB0001,2005-11-26,96631.0
LAB0001,2005-11-27,122013.0
LAB0001,2005-11-28,115423.0
LAB0001,2005-11-29,2357.0
LAB0001,2005-12-06,137154.0
LAB0001,2005-12-07,30389.0
LAB0001,2005-12-08,49455.0
LAB0001,2005-12-10,118816.0
LAB0001,2005-12-11,110113.0
LAB0001,2005-12-12,100243.0
LAB0001,2005-12-13,162636.0
LAB0001,2005-12-14,63465.0
LAB0001,2005-12-15,166936.0
LAB0001,2005-12-16,37679.0
LAB0001,2005-12-17,8427.0
LAB0001,2005-12-18,111578.0
LAB0001,2005-12-19,100888.0
LAB0001,2005-12-20,92154.0
LAB0001,2005-12-21,2017.0
LAB0001,2005-12-23,167434.0
LAB0001,2005-12-24,131984.0
LAB0001,2005-12-25,12630.0
LAB0001,2005-12-26,140.0
LAB0001,2005-12-28,119229.0
LAB0001,2005-12-29,81030.0
LAB0001,2005-12-30,105428.0
LAB0001,2006-01-01,0.0
LAB0001,2006-01-02,82318.0
LAB0001,2006-01-04,118504.0
LAB0001,2006-01-05,123302.0
LAB0001,2006-01-06,115791.0
LAB0001,2006-01-07,176440.0
LAB0001,2006-01-08,28904.0
LAB0001,2006-01-09,114308.0
LAB0001,2006-01-10,148186.0
LAB0001,2006-01-12,81715.0
LAB0001,2006-01-13,185945.0
LAB0001,2006-01-14,97243.0
LAB0001,2006-01-15,134475.0
LAB0001,2006-01-16,137182.0
LAB0001,2006-01-18,155471.0
LAB0001,2006-01-19,36541.0
LAB0001,2006-01-20,105881.0
LAB0001,2006-01-21,107683.0
LAB0001,2006-01-22,66389.0
LAB0001,2006-01-23,128060.0
LAB0001,2006-01-24,132576.0
LAB0001,2006-01-25,67523.0
LAB0001,2006-01-26,104921.0
LAB0001,2006-01-27,142102.0
LAB0001,2006-01-28,222404.0
LAB0001,2006-01-29,160.0
LAB0001,2006-01-30,111134.0
LAB0001,2006-02-01,101927.0
LAB0001,2006-02-02,119829.0
LAB0001,2006-02-03,150474.0
LAB0001,2006-02-04,120726.0
LAB0001,2006-02-05,114682.0
LAB0001,2006-02-06,105584.0
LAB0001,2006-02-07,140986.0
LAB0001,2006-02-08,150939.0
LAB0001,2006-02-10,145376.0
LAB0001,2006-02-11,129706.0
LAB0001,2006-02-12,117777.0
LAB0001,2006-02-13,137663.0
LAB0001,2006-02-14,106561.0
LAB0001,2006-02-15,128561.0
LAB0001,2006-02-16,122222.0
LAB0001,2006-02-18,134589.0
LAB0001,2006-02-19,90307.0
LAB0001,2006-02-20,145714.0
LAB0001,2006-02-21,164287.0
LAB0001,2006-02-22,144877.0
LAB0001,2006-02-23,121839.0
LAB0001,2006-02-24,126454.0
LAB0001,2006-02-25,101454.0
LAB0001,2006-02-26,136294.0
LAB0001,2006-02-28,122423.0
LAB0001,2006-03-01,126525.0
LAB0001,2006-03-02,136033.0
LAB0001,2006-03-03,137500.0
LAB0001,2006-03-04,131982.0
LAB0001,2006-03-05,127558.0
LAB0001,2006-03-06,114512.0
LAB0001,2006-03-07,143681.0
LAB0001,2006-03-08,118497.0
LAB0001,2006-03-10,136635.0
LAB0001,2006-03-11,167745.0
LAB0001,2006-03-12,89363.0
LAB0001,2006-03-13,228491.0
LAB0001,2006-03-14,8695.0
LAB0001,2006-03-15,122732.0
LAB0001,2006-03-16,132030.0
LAB0001,2006-03-17,176233.0
LAB0001,2006-03-18,134946.0
LAB0001,2006-03-19,222676.0
LAB0001,2006-03-20,37192.0
LAB0001,2006-03-21,139723.0
LAB0001,2006-03-23,231301.0
LAB0001,2006-03-24,135756.0
LAB0001,2006-03-25,141473.0
LAB0001,2006-03-26,109375.0
LAB0001,2006-03-27,123791.0
LAB0001,2006-03-28,109572.0
LAB0001,2006-03-29,102735.0
LAB0001,2006-03-31,101812.0
LAB0001,2006-04-01,138280.0
LAB0001,2006-04-02,151920.0
LAB0001,2006-04-03,123817.0
LAB0001,2006-04-04,142826.0
LAB0001,2006-04-05,130457.0
LAB0001,2006-04-06,138847.19999999995
LAB0001,2006-04-08,147004.0
LAB0001,2006-04-09,138288.0
LAB0001,2006-04-10,135500.0
LAB0001,2006-04-11,112212.0
LAB0001,2006-04-12,113086.0
LAB0001,2006-04-13,98344.0
LAB0001,2006-04-14,0.0
LAB0001,2006-04-15,140591.0
LAB0001,2006-04-16,122769.0
LAB0001,2006-04-17,127500.0
LAB0001,2006-04-19,129599.0
LAB0001,2006-04-21,0.0
LAB0001,2006-04-22,125038.0
LAB0001,2006-04-23,144466.0
LAB0001,2006-04-24,107755.0
LAB0001,2006-04-25,123780.0
LAB0001,2006-04-26,151880.0
LAB0001,2006-04-27,122145.0
LAB0001,2006-04-28,115389.0
LAB0001,2006-04-29,125912.0
LAB0001,2006-04-30,163831.0
LAB0001,2006-05-01,129236.0
LAB0001,2006-05-02,107178.0
LAB0001,2006-05-03,118855.0
LAB0001,2006-05-04,120706.0
LAB0001,2006-05-05,107187.0
LAB0001,2006-05-07,103575.0
LAB0001,2006-05-08,113234.0
LAB0001,2006-05-10,77176.0
LAB0001,2006-05-11,117445.0
LAB0001,2006-05-12,26290.0
LAB0001,2006-05-13,132.0
LAB0001,2006-05-14,1190.0
LAB0001,2006-05-15,136046.0
LAB0001,2006-05-16,101897.0
LAB0001,2006-05-17,166546.0
LAB0001,2006-05-18,174035.0
LAB0001,2006-05-19,116530.0
LAB0001,2006-05-20,144539.0
LAB0001,2006-05-21,121767.0
LAB0001,2006-05-23,124794.0
LAB0001,2006-05-24,123226.0
LAB0001,2006-05-25,122302.0
LAB0001,2006-05-27,112590.0
LAB0001,2006-05-28,116996.0
LAB0001,2006-05-29,116890.0
LAB0001,2006-05-30,131273.0
LAB0001,2006-05-31,259917.0
LAB0001,2006-06-01,152923.0
LAB0001,2006-06-02,94407.0
LAB0001,2006-06-03,112164.0
LAB0001,2006-06-04,126838.0
LAB0001,2006-06-06,149386.0
LAB0001,2006-06-07,96531.0
LAB0001,2006-06-08,104559.0
LAB0001,2006-06-10,99687.0
LAB0001,2006-06-11,128021.0
LAB0001,2006-06-12,113574.0
LAB0001,2006-06-13,60871.0
LAB0001,2006-06-15,123911.0
LAB0001,2006-06-16,98582.0
LAB0001,2006-06-17,109705.0
LAB0001,2006-06-18,107756.0
LAB0001,2006-06-19,112108.0
LAB0001,2006-06-20,119508.0
LAB0001,2006-06-21,94731.0
LAB0001,2006-06-22,40747.0
LAB0001,2006-06-23,126335.8999999999
LAB0001,2006-06-24,100468.0
LAB0001,2006-06-25,13368.0
LAB0001,2006-06-26,5583.0
LAB0001,2006-06-27,13362.0
LAB0001,2006-06-28,21880.0
LAB0001,2006-06-29,47020.0
LAB0001,2006-06-30,67658.0
LAB0001,2006-07-01,186467.0
LAB0001,2006-07-02,85719.0
LAB0001,2006-07-03,160034.0
LAB0001,2006-07-04,94310.0
LAB0001,2006-07-05,79798.0
LAB0001,2006-07-07,97812.0
LAB0001,2006-07-08,52835.0
LAB0001,2006-07-09,66644.0
LAB0001,2006-07-10,54971.0
LAB0001,2006-07-11,16814.0
LAB0001,2006-07-12,48157.0
LAB0001,2006-07-13,10483.0
LAB0001,2006-07-14,93436.0
LAB0001,2006-07-15,125351.0
LAB0001,2006-07-16,120986.0
LAB0001,2006-07-17,116584.0
LAB0001,2006-07-19,95082.0
LAB0001,2006-07-20,71721.0
LAB0001,2006-07-21,132944.0
LAB0001,2006-07-22,74363.0
LAB0001,2006-07-23,300608.0
LAB0001,2006-07-24,49980.0
LAB0001,2006-07-26,1209142.0
LAB0001,2006-07-27,123735.0
LAB0001,2006-07-28,115413.0
LAB0001,2006-07-29,49641.0
LAB0001,2006-07-30,45961.0
LAB0001,2006-08-01,1697.0
LAB0001,2006-08-02,125760.0
LAB0001,2006-08-03,111710.0
LAB0001,2006-08-04,135953.0
LAB0001,2006-08-05,88537.0
LAB0001,2006-08-06,174610.0
LAB0001,2006-08-07,118301.0
LAB0001,2006-08-09,42002.0
LAB0001,2006-08-10,71844.0
LAB0001,2006-08-11,726.0
LAB0001,2006-08-12,1483.0
LAB0001,2006-08-13,17637.0
LAB0001,2006-08-14,24510.0
LAB0001,2006-08-15,116521.0
LAB0001,2006-08-16,125630.0
LAB0001,2006-08-17,258890.0
LAB0001,2006-08-19,108618.0
LAB0001,2006-08-20,76718.0
LAB0001,2006-08-21,377.0
LAB0001,2006-08-22,1398.0
LAB0001,2006-08-23,86135.0
LAB0001,2006-08-24,140000.0
LAB0001,2006-08-25,105418.0
LAB0001,2006-08-26,76924.0
LAB0001,2006-08-27,54967.0
LAB0001,2006-08-28,82080.0
LAB0001,2006-08-29,97004.0
LAB0001,2006-08-30,170969.0
LAB0001,2006-08-31,135715.0
LAB0001,2006-09-01,141656.0
LAB0001,2006-09-02,162696.0
LAB0001,2006-09-03,131192.0
LAB0001,2006-09-04,136983.0
LAB0001,2006-09-05,115465.0
LAB0001,2006-09-07,132501.0
LAB0001,2006-09-09,141554.0
LAB0001,2006-09-10,174951.0
LAB0001,2006-09-11,111065.0
LAB0001,2006-09-12,131626.0
LAB0001,2006-09-13,130648.0
LAB0001,2006-09-15,149902.0
LAB0001,2006-09-16,116216.0
LAB0001,2006-09-17,143683.0
LAB0001,2006-09-18,137981.0
LAB0001,2006-09-19,142254.0
LAB0001,2006-09-20,97936.0
LAB0001,2006-09-21,128270.0
LAB0001,2006-09-22,70414.0
LAB0001,2006-09-23,74917.0
LAB0001,2006-09-24,70530.0
LAB0001,2006-09-25,104076.0
LAB0001,2006-09-26,110949.0
LAB0001,2006-09-28,2530.0
LAB0001,2006-09-29,10336.0
LAB0001,2006-09-30,77180.0
LAB0001,2006-10-01,107516.0
LAB0001,2006-10-02,10902.0
LAB0001,2006-10-03,76602.0
LAB0001,2006-10-04,49247.0
LAB0001,2006-10-05,137321.0
LAB0001,2006-10-06,184427.0
LAB0001,2006-10-07,158046.0
LAB0001,2006-10-08,50967.0
LAB0001,2006-10-09,102383.0
LAB0001,2006-10-10,124889.0
LAB0001,2006-10-12,141924.7999999998
LAB0001,2006-10-13,64995.0
LAB0001,2006-10-14,111275.0
LAB0001,2006-10-15,168595.0
LAB0001,2006-10-16,93123.0
LAB0001,2006-10-17,145589.0
LAB0001,2006-10-18,163074.0
LAB0001,2006-10-19,119084.0
LAB0001,2006-10-20,164568.0
LAB0001,2006-10-21,135073.0
LAB0001,2006-10-22,215374.0
LAB0001,2006-10-24,171651.0
LAB0001,2006-10-25,137472.0
LAB0001,2006-10-26,146870.0
LAB0001,2006-10-28,109644.0
LAB0001,2006-10-29,117190.0
LAB0001,2006-10-30,68888.0
LAB0001,2006-10-31,148446.0
LAB0001,2006-11-01,25390.0
LAB0001,2006-11-02,116876.0
LAB0001,2006-11-03,108515.0
LAB0001,2006-11-04,148522.0
LAB0001,2006-11-05,100655.0
LAB0001,2006-11-07,131928.0
LAB0001,2006-11-08,219872.0
LAB0001,2006-11-09,111757.0
LAB0001,2006-11-10,117902.0
LAB0001,2006-11-11,112125.0
LAB0001,2006-11-12,114966.0
LAB0001,2006-11-13,98092.0
LAB0001,2006-11-14,104129.0
LAB0001,2006-11-15,112850.0
LAB0001,2006-11-16,106544.0
LAB0001,2006-11-17,202711.0
LAB0001,2006-11-18,101359.0
LAB0001,2006-11-19,121525.0
LAB0001,2006-11-21,106928.0
LAB0001,2006-11-22,128758.0
LAB0001,2006-11-23,126502.0
LAB0001,2006-11-24,120606.0
LAB0001,2006-11-25,87736.0
LAB0001,2006-11-26,112365.0
LAB0001,2006-11-28,123590.0
LAB0001,2006-11-29,120248.0
LAB0001,2006-11-30,47843.0
