lead_time_id,item_no,pr_date,po_date,rcpt_date,pr_to_rcpt_lead_time_days,po_to_rcpt_lead_time_days
1,LAB0001,2020-01-20,2020-01-27,2020-02-08,19,12
2,LAB0001,2020-03-18,2020-03-25,2020-04-03,16,9
3,LAB0001,2020-07-03,2020-07-08,2020-07-13,10,5
4,LAB0001,2020-08-05,2020-08-13,2020-09-16,42,34
5,LAB0001,2020-09-29,2020-09-29,2020-10-22,23,23
6,LAB0001,2020-11-23,2020-11-27,2020-12-10,17,13
7,LAB0001,2021-01-20,2021-02-03,2021-02-04,15,1
8,LAB0001,2021-02-26,2021-03-12,2021-03-17,19,5
9,LAB0001,2021-04-08,2021-04-19,2021-04-21,13,2
10,LAB0001,2021-05-07,2021-05-26,2021-05-27,20,1
11,LAB0001,2021-06-14,2021-07-06,2021-07-07,23,1
12,LAB0001,2021-07-23,2021-09-03,2021-09-06,45,3
13,LAB0001,2021-09-21,2021-10-20,2021-10-21,30,1
14,LAB0001,2021-11-18,2021-12-27,2021-12-29,41,2
15,LAB0001,2022-02-14,2022-02-24,2022-03-07,21,11
16,LAB0001,2022-03-17,2022-04-25,2022-04-26,40,1
17,LAB0001,2022-05-28,2022-07-07,2022-07-11,44,4
18,LAB0001,2022-08-05,2022-09-01,2022-09-02,28,1
19,LAB0001,2022-10-13,2022-11-09,2022-11-15,33,6
20,LAB0001,2023-02-02,2023-03-16,2023-04-01,58,16
21,LAB0001,2023-04-20,2023-05-08,2023-05-31,41,23
22,LAB0001,2023-09-25,2023-10-27,2023-11-16,52,20
23,LAB0001,2023-10-18,2023-11-14,2023-11-17,30,3
24,LAB0001,2023-11-28,2023-12-22,2023-12-23,25,1
25,LAB0001,2024-01-16,2024-02-06,2024-02-13,28,7
26,LAB0001,2024-08-15,2024-10-07,2024-10-11,57,4
27,LAB0001,2024-10-18,2024-12-03,2024-12-04,47,1
28,LAB0001,2025-01-06,2025-01-23,2025-01-25,19,2
29,LAB0001,2025-02-07,2025-03-10,2025-03-19,40,9
30,LAB0001,2025-03-18,2025-04-23,2025-05-06,49,13
31,LAB0001,2026-03-23,2026-03-30,2026-03-31,8,1
32,LAB0001,2026-04-08,2026-04-20,2026-04-28,20,8
33,LAB0001,2026-05-08,2026-05-14,2026-05-21,13,7
278,LAB0004,2019-05-28,2020-05-23,2020-06-15,384,23
279,LAB0004,2020-01-15,2020-01-20,2020-08-01,199,194
280,LAB0004,2020-01-27,2020-01-30,2020-02-15,19,16
281,LAB0004,2020-06-08,2020-06-26,2021-07-08,395,377
282,LAB0004,2020-11-04,2021-02-09,2021-10-21,351,254
283,LAB0004,2021-05-08,2021-05-27,2024-01-16,983,964
284,LAB0004,2022-09-24,2022-11-08,2023-02-02,131,86
285,LAB0004,2022-09-24,2022-11-08,2022-12-31,98,53
286,LAB0004,2022-12-03,2022-12-05,2022-12-12,9,7
287,LAB0004,2022-12-15,2022-12-19,2022-12-31,16,12
288,LAB0004,2022-12-20,2022-12-20,2023-01-04,15,15
289,LAB0004,2022-12-28,2023-02-14,2023-05-25,148,100
290,LAB0004,2023-02-02,2023-03-08,2023-10-14,254,220
291,LAB0004,2023-03-31,2023-05-22,2024-05-09,405,353
292,LAB0004,2023-11-29,2023-12-22,2024-07-23,237,214
293,LAB0004,2024-03-08,2024-05-14,2025-04-16,404,337
294,LAB0004,2024-11-18,2025-01-02,2026-04-21,519,474
295,LAB0004,2025-04-08,2025-07-23,2026-06-18,436,330
296,LAB0004,2026-02-26,2026-03-26,2026-06-18,112,84
359,LAB0003,2019-05-28,2020-05-23,2020-06-15,384,23
360,LAB0003,2020-06-08,2020-07-24,2020-07-30,52,6
361,LAB0003,2020-06-08,2020-08-04,2020-08-14,67,10
362,LAB0003,2020-06-08,2020-08-18,2020-09-08,92,21
363,LAB0003,2020-08-17,2020-08-20,2020-09-29,43,40
364,LAB0003,2020-11-04,2021-02-09,2021-06-24,232,135
365,LAB0003,2020-12-12,2021-01-05,2021-01-13,32,8
366,LAB0003,2020-12-12,2021-01-29,2021-02-06,56,8
367,LAB0003,2020-12-12,2021-02-11,2021-02-23,73,12
368,LAB0003,2021-02-08,2021-07-19,2022-03-19,404,243
369,LAB0003,2021-02-19,2021-03-15,2021-06-07,108,84
370,LAB0003,2021-02-19,2021-03-23,2021-04-14,54,22
371,LAB0003,2021-02-19,2021-07-27,2021-08-09,171,13
372,LAB0003,2021-12-16,2022-01-11,2022-10-24,312,286
373,LAB0003,2022-02-04,2022-02-10,2022-02-14,10,4
374,LAB0003,2022-07-22,2022-09-19,2022-11-18,119,60
375,LAB0003,2022-07-22,2022-09-23,2023-01-11,173,110
376,LAB0003,2022-12-28,2023-01-31,2023-05-31,154,120
377,LAB0003,2023-02-02,2023-03-08,2023-10-14,254,220
378,LAB0003,2023-03-03,2023-03-15,2023-03-27,24,12
379,LAB0003,2023-03-03,2023-03-20,2023-03-31,28,11
380,LAB0003,2023-03-03,2023-03-29,2023-04-24,52,26
381,LAB0003,2023-03-03,2023-04-05,2023-08-01,151,118
382,LAB0003,2023-03-31,2023-05-22,2024-05-09,405,353
383,LAB0003,2023-08-11,2023-11-03,2024-05-09,272,188
384,LAB0003,2024-03-08,2024-05-14,2025-04-16,404,337
