item_no,po_no,order_date,qty_ordered,qty_received,has_rcpt,open_qty,days_since_order,is_stale
MNT0002,MNT-PO-005337,2009-08-12,3120.0,3120,True,0.0,6159,False
MNT0002,MNT-PO-005487,2009-10-02,4160.0,4160,True,0.0,6108,False
MNT0002,MNT-PO-006179,2010-04-06,10400.0,10400,True,0.0,5922,False
MNT0002,MNT-PO-006459,2010-06-04,10400.0,10400,True,0.0,5863,False
MNT0002,MNT-PO-006858,2010-08-20,6240.0,6240,True,0.0,5786,False
MNT0002,MNT-PO-007808,2011-02-23,10400.0,10400,True,0.0,5599,False
MNT0002,MNT-PO-008310,2011-05-24,10400.0,10400,True,0.0,5509,False
MNT0002,MNT-PO-008314,2011-05-24,10400.0,10400,True,0.0,5509,False
MNT0002,MNT-PO-008687,2011-07-18,1000.0,1000,True,0.0,5454,False
MNT0002,MNT-PO-010536,2012-06-06,1.0,1,True,0.0,5130,False
MNT0002,MNT-PO-011879,2013-03-02,10400.0,10400,True,0.0,4861,False
MNT0002,MNT-PO-012342,2013-06-27,10400.0,10400,True,0.0,4744,False
MNT0002,MNT-PO-017017,2016-10-11,31000.0,31000,True,0.0,3542,False
MNT0002,MNT-PO-017552,2017-02-13,31000.0,31000,True,0.0,3417,False
MNT0002,MNT-PO-018593,2017-09-07,31000.0,31000,True,0.0,3211,False
MNT0002,MNT-PO-018933,2017-11-03,72000.0,72000,True,0.0,3154,False
MNT0002,MNT-PO-020650,2018-08-24,31000.0,31000,True,0.0,2860,False
MNT0002,MNT-PO-022510,2020-01-24,96000.0,96000,True,0.0,2342,False
MNT0002,MNT-PO-023261,2021-03-03,203000.0,203000,True,0.0,1938,False
MNT0002,MNT-PO-023832,2022-02-09,140000.0,140000,True,0.0,1595,False
MNT0002,MNT-PO-024269,2022-10-24,140000.0,140000,True,0.0,1338,False
MNT0002,MNT-PO-024621,2023-04-14,221000.0,221000,True,0.0,1166,False
MNT0002,MNT-PO-025186,2024-02-20,216000.0,216000,True,0.0,854,False
MNT0002,MNT-PO-025929,2025-01-31,180000.0,180000,True,0.0,508,False
MNT0002,MNT-PO-026311,2025-07-03,91000.0,91000,True,0.0,355,False
MNT0002,MNT-SPO-023037,2009-05-20,40.0,40,True,0.0,6243,False
MNT0002,MNT-SPO-065864,2015-10-01,4160.0,4160,True,0.0,3918,False
MNT0002,MNT-SPO-089108,2019-10-14,18000.0,18000,True,0.0,2444,False
MNT0002,MNT-SPO-091310,2020-07-07,5000.0,5000,True,0.0,2177,False
MNT0002,MNT-SPO-091429,2020-07-18,20000.0,20000,True,0.0,2166,False
MNT0002,MNT-SPO-094196,2021-06-04,10000.0,10000,True,0.0,1845,False
MNT0002,MNT-SPO-094606,2021-07-23,10000.0,10000,True,0.0,1796,False
MNT0002,MNT-SPO-095450,2021-10-26,10000.0,10000,True,0.0,1701,False
MNT0002,MNT-SPO-105489,2025-03-28,10000.0,10000,True,0.0,452,False
MNT0002,MNT-PO-000922,2006-03-14,832.0,832,True,0.0,7406,False
MNT0002,MNT-PO-001164,2006-06-05,2080.0,2079,True,1.0,7323,True
MNT0002,MNT-PO-001242,2006-07-03,2080.0,2080,True,0.0,7295,False
MNT0002,MNT-PO-001459,2006-09-12,4160.0,4159,True,1.0,7224,True
MNT0002,MNT-PO-001624,2006-11-10,1040.0,1039,True,1.0,7165,True
MNT0002,MNT-PO-002175,2007-03-05,1040.0,1039,True,1.0,7050,True
MNT0002,MNT-PO-003625,2008-04-09,1664.0,1663,True,1.0,6649,True
MNT0002,MNT-PO-004007,2008-07-31,3120.0,3118,True,2.0,6536,True
MNT0002,MNT-PO-004327,2008-10-27,2496.0,2496,True,0.0,6448,False
MNT0002,MNT-PO-004567,2009-01-15,4160.0,4159,True,1.0,6368,True
MNT0002,MNT-PO-004951,2009-04-13,3120.0,3118,True,2.0,6280,True
MNT0002,MNT-PO-005091,2009-05-29,4160.0,4160,True,0.0,6234,False
MNT0002,MNT-PO-005628,2009-11-12,6240.0,6238,True,2.0,6067,True
MNT0002,MNT-PO-006007,2010-02-25,6240.0,6240,True,0.0,5962,False
MNT0002,MNT-PO-007403,2010-12-06,8320.0,8313,True,7.0,5678,True
MNT0002,MNT-PO-008704,2011-07-21,20800.0,20800,True,0.0,5451,False
MNT0002,MNT-PO-008783,2011-08-02,6240.0,6240,True,0.0,5439,False
MNT0002,MNT-PO-009770,2012-01-19,4576.0,4576,True,0.0,5269,False
MNT0002,MNT-PO-009989,2012-02-25,6240.0,6238,True,2.0,5232,True
MNT0002,MNT-PO-010145,2012-03-21,3760.0,3756,True,4.0,5207,True
MNT0002,MNT-PO-010171,2012-03-24,20800.0,20796,True,4.0,5204,True
MNT0002,MNT-PO-011003,2012-09-07,10400.0,10400,True,0.0,5037,False
MNT0002,MNT-PO-011343,2012-11-16,10400.0,10400,True,0.0,4967,False
MNT0002,MNT-PO-012703,2013-09-26,5200.0,5200,True,0.0,4653,False
MNT0002,MNT-PO-012711,2013-09-30,2080.0,2080,True,0.0,4649,False
MNT0002,MNT-PO-012838,2013-11-14,10400.0,10400,True,0.0,4604,False
MNT0002,MNT-PO-012987,2013-12-19,10400.0,10400,True,0.0,4569,False
MNT0002,MNT-PO-013430,2014-03-12,10400.0,10400,True,0.0,4486,False
MNT0002,MNT-PO-013476,2014-03-25,2080.0,2080,True,0.0,4473,False
MNT0002,MNT-PO-013707,2014-06-03,11440.0,11440,True,0.0,4403,False
MNT0002,MNT-PO-013828,2014-07-04,5200.0,5200,True,0.0,4372,False
MNT0002,MNT-PO-013831,2014-07-04,5200.0,5200,True,0.0,4372,False
MNT0002,MNT-PO-013918,2014-08-01,11856.0,11856,True,0.0,4344,False
MNT0002,MNT-PO-014329,2014-11-26,24960.0,24960,True,0.0,4227,False
MNT0002,MNT-PO-015235,2015-07-01,20800.0,20800,True,0.0,4010,False
MNT0002,MNT-PO-015435,2015-08-16,2080.0,2080,True,0.0,3964,False
MNT0002,MNT-SPO-070501,2016-08-08,2080.0,2000,True,80.0,3606,True
MNT0002,MNT-PO-019542,2018-03-08,32000.0,31000,True,1000.0,3029,True
MNT0002,MNT-PO-026744,2026-03-26,90000.0,0,True,90000.0,89,False
MNT0003,MNT-PO-019914,2018-04-28,13000.0,13000,True,0.0,2978,False
MNT0003,MNT-PO-021866,2019-06-13,46000.0,46000,True,0.0,2567,False
MNT0003,MNT-PO-022286,2019-10-01,46000.0,46000,True,0.0,2457,False
MNT0003,MNT-PO-022696,2020-05-13,13000.0,13000,True,0.0,2232,False
MNT0003,MNT-PO-022763,2020-06-01,2000.0,2000,True,0.0,2213,False
MNT0003,MNT-PO-023144,2021-01-17,46000.0,46000,True,0.0,1983,False
MNT0003,MNT-SPO-039362,2011-09-06,10000.0,10000,True,0.0,5404,False
MNT0003,MNT-SPO-040632,2011-10-27,10000.0,10000,True,0.0,5353,False
MNT0003,MNT-SPO-041908,2011-12-20,10000.0,10000,True,0.0,5299,False
MNT0003,MNT-SPO-044530,2012-03-21,10000.0,10000,True,0.0,5207,False
MNT0003,MNT-SPO-046022,2012-05-18,10000.0,10000,True,0.0,5149,False
MNT0003,MNT-SPO-048439,2012-08-28,17200.0,17200,True,0.0,5047,False
MNT0003,MNT-SPO-050243,2012-11-08,15800.0,15800,True,0.0,4975,False
MNT0003,MNT-SPO-050244,2012-11-08,22000.0,22000,True,0.0,4975,False
MNT0003,MNT-SPO-051920,2013-01-19,16000.0,16000,True,0.0,4903,False
MNT0003,MNT-SPO-052168,2013-01-29,22000.0,22000,True,0.0,4893,False
MNT0003,MNT-SPO-053779,2013-04-02,22000.0,22000,True,0.0,4830,False
MNT0003,MNT-SPO-055137,2013-06-17,22000.0,22000,True,0.0,4754,False
MNT0003,MNT-SPO-057124,2013-11-20,22000.0,22000,True,0.0,4598,False
MNT0003,MNT-SPO-058082,2014-02-14,22000.0,22000,True,0.0,4512,False
MNT0003,MNT-SPO-058984,2014-04-25,38000.0,38000,True,0.0,4442,False
MNT0003,MNT-SPO-059461,2014-06-03,22000.0,22000,True,0.0,4403,False
MNT0003,MNT-SPO-061874,2014-12-17,44000.0,44000,True,0.0,4206,False
MNT0003,MNT-SPO-068336,2016-03-28,22000.0,22000,True,0.0,3739,False
MNT0003,MNT-SPO-069622,2016-06-16,44000.0,44000,True,0.0,3659,False
MNT0003,MNT-SPO-072491,2016-12-01,44000.0,44000,True,0.0,3491,False
MNT0003,MNT-SPO-080771,2018-03-27,2000.0,2000,True,0.0,3010,False
MNT0003,MNT-SPO-011217,2007-04-30,1800.0,1800,True,0.0,6994,False
MNT0003,MNT-SPO-061459,2014-11-11,44000.0,44000,True,0.0,4242,False
MNT0003,MNT-SPO-067226,2016-01-19,44000.0,44000,True,0.0,3808,False
MNT0003,MNT-SPO-080747,2018-03-26,400.0,400,True,0.0,3011,False
MNT0003,MNT-PO-022427,2019-11-29,230000.0,230000,True,0.0,2398,False
MNT0003,MNT-PO-023205,2021-02-09,217750.0,181349,True,36401.0,1960,True
MNT0003,MNT-PO-023431,2021-05-27,750000.0,750000,True,0.0,1853,False
MNT0003,MNT-PO-025354,2024-05-28,391000.0,380404,True,10596.0,756,True
MNT0003,MNT-PO-025879,2025-01-02,460000.0,385975,True,74025.0,537,True
MNT0003,MNT-PO-026745,2026-03-26,230000.0,0,True,230000.0,89,False
MNT0001,MNT-PO-005070,2009-05-22,90000.0,90000,True,0.0,6241,False
MNT0001,MNT-PO-017789,2017-03-21,2584.94,2584,True,0.9400000000000546,3381,True
MNT0001,MNT-PO-019882,2018-04-25,1571.13,1571,True,0.1300000000001091,2981,True
