item_no,year,total_usage_qty,total_usage_value,non_stockout_days,total_inventory_value_days,calendar_days
MNT0002,2020,116118.0,17928446.04,335,2755519996.34,366
MNT0002,2021,149620.0,20116553.52,365,3853590789.47,365
MNT0002,2022,161869.0,20505522.86,365,8009651940.48,365
MNT0002,2023,208005.73,29709883.22,365,14520274152.56,365
MNT0002,2024,225687.0,33315826.75,366,17242264474.32,366
MNT0002,2025,128657.0,19664103.29,365,19554647457.11,365
MNT0002,2026,53495.0,8368363.19,174,10998250799.19,174
MNT0003,2020,271330.0,27682276.9,263,2602255992.46,366
MNT0003,2021,291668.0,26216314.87,365,9395520392.1,365
MNT0003,2022,333761.0,32775349.27,365,13312121002.72,365
MNT0003,2023,273438.0,31523727.97,365,14120184207.42,365
MNT0003,2024,396772.5,47127450.47,366,11084096576.22,366
MNT0003,2025,338643.0,35688035.0,365,10542894073.72,365
MNT0003,2026,92661.0,9880495.57,174,6112076819.57,174
MNT0001,2020,632857.1699999999,64475251.21,366,9043110562.58,366
MNT0001,2021,858272.0,68311675.86,365,8151618190.93,365
MNT0001,2022,731358.88,67201007.67,365,7507914366.04,365
MNT0001,2023,1163264.16,119343140.46,365,14883682024.71,365
MNT0001,2024,751838.88,66135800.78,366,11760303125.65,366
MNT0001,2025,615668.0,53018668.65,365,22170095023.76,365
MNT0001,2026,549691.0,48300058.4,174,14214870463.75,174
MNT0021,2020,5300.0,790248.96,366,684654259.32,366
MNT0021,2021,15479.0,2298599.35,195,95002059.74,365
MNT0021,2022,7200.0,1007352.0,313,117017064.0,365
MNT0021,2023,3600.0,535148.0,298,204071365.64,365
MNT0021,2024,7000.0,1058203.47,366,275958379.84,366
MNT0021,2025,9600.0,1451916.64,365,594552578.37,365
MNT0021,2026,4600.0,695720.51,174,193289308.02,174
MNT0025,2020,81.0,2330493.33,149,147375708.02,366
MNT0025,2021,42.0,1307319.83,223,101403285.9,365
MNT0025,2022,17.0,512084.88,365,182056153.69,365
MNT0025,2023,26.0,867192.3,365,907678806.13,365
MNT0025,2024,54.0,1840748.51,366,235172666.04,366
MNT0025,2025,56.0,2912090.43,365,565647993.91,365
MNT0025,2026,12.0,624535.6,174,180386698.45,174
MNT0013,2020,829.0,173170.24,326,16872083.54,366
MNT0013,2021,772.0,124519.83,365,16614518.61,365
MNT0013,2022,821.0,117638.82,365,13326507.13,365
MNT0013,2023,1520.0,220147.32,365,22880137.28,365
MNT0013,2024,1972.0,264870.78,366,30693577.71,366
MNT0013,2025,2367.0,296406.82,365,37218684.03,365
MNT0013,2026,1088.0,136028.58,174,7029392.73,174
MNT0026,2020,571.0,426348.01,366,38849172.59,366
MNT0026,2021,159.0,118479.81,140,15954535.97,365
MNT0026,2022,913.0,669444.86,127,21460973.73,365
MNT0026,2023,120.0,84000.0,365,84763700.0,365
MNT0026,2024,1156.0,809200.0,324,114555700.0,366
MNT0026,2025,1089.0,762300.0,365,65537500.0,365
MNT0026,2026,329.0,239279.11,174,34346240.59,174
MNT0008,2020,23.0,652675.16,164,76016973.16,366
MNT0008,2021,49.0,1398567.98,365,561640300.56,365
MNT0008,2022,72.0,2052837.75,365,874912737.51,365
MNT0008,2023,61.0,1692101.52,365,687215131.05,365
MNT0008,2024,76.0,1286452.23,366,282440413.71,366
MNT0008,2025,93.0,943403.07,365,117832248.74,365
